time, position, velocity, acceleration
0,10.19,1.9,19
0.1,10.5651,3.7506,18.506
0.2,11.1202,5.55118,18.0058
0.3,11.8503,7.3012,17.5002
0.4,12.7503,9.00017,16.9897
0.5,13.8151,10.6477,16.4749
0.6,15.0394,12.2433,15.9566
0.7,16.4181,13.7868,15.4352
0.8,17.9459,15.278,14.9115
0.9,19.6176,16.7166,14.3859
1,21.4278,18.1025,13.8591
1.1,23.3714,19.4357,13.3316
1.2,25.443,20.716,12.804
1.3,27.6373,21.9437,12.2767
1.4,29.9492,23.1187,11.7503
1.5,32.3734,24.2413,11.2254
1.6,34.9045,25.3115,10.7023
1.7,37.5375,26.3297,10.1817
1.8,40.2671,27.2961,9.66383
1.9,43.0882,28.211,9.14927
2,45.9957,29.0748,8.63843
2.1,48.9845,29.888,8.13172
2.2,52.0496,30.651,7.62955
2.3,55.186,31.3642,7.1323
2.4,58.3888,32.0282,6.64035
2.5,61.6532,32.6436,6.15406
2.6,64.9743,33.211,5.67377
2.7,68.3474,33.731,5.19982
2.8,71.7678,34.2043,4.73251
2.9,75.2309,34.6315,4.27216
3,78.7323,35.0134,3.81904
3.1,82.2674,35.3507,3.37343
3.2,85.8318,35.6443,2.93559
3.3,89.4213,35.8948,2.50575
3.4,93.0316,36.1033,2.08416
3.5,96.6586,36.2704,1.67102
3.6,100.298,36.397,1.26655
3.7,103.947,36.4841,0.870912
3.8,107.6,36.5325,0.484298
3.9,111.254,36.5432,0.106865
4,114.906,36.5171,-0.261239
4.1,118.552,36.4551,-0.619879
4.2,122.187,36.3582,-0.968933
4.3,125.81,36.2274,-1.30829
4.4,129.416,36.0636,-1.63786
4.5,133.003,35.8679,-1.95755
4.6,136.567,35.6411,-2.26729
4.7,140.106,35.3844,-2.56702
4.8,143.616,35.0988,-2.85669
4.9,147.094,34.7851,-3.13626
5,150.539,34.4446,-3.4057
5.1,153.946,34.0781,-3.665
5.2,157.315,33.6866,-3.91416
5.3,160.642,33.2713,-4.15317
5.4,163.926,32.8331,-4.38206
5.5,167.163,32.373,-4.60084
5.6,170.352,31.8921,-4.80955
5.7,173.491,31.3913,-5.00823
5.8,176.578,30.8716,-5.19693
5.9,179.612,30.334,-5.37573
6,182.59,29.7795,-5.54467
6.1,185.511,29.2091,-5.70385
6.2,188.373,28.6238,-5.85335
6.3,191.175,28.0245,-5.99325
6.4,193.917,27.4121,-6.12367
6.5,196.595,26.7876,-6.24469
6.6,199.211,26.152,-6.35645
6.7,201.761,25.5061,-6.45906
6.8,204.246,24.8508,-6.55265
6.9,206.665,24.1871,-6.63734
7,209.017,23.5158,-6.71328
7.1,211.3,22.8377,-6.7806
7.2,213.516,22.1538,-6.83946
7.3,215.662,21.4648,-6.89002
7.4,217.739,20.7715,-6.93241
7.5,219.747,20.0748,-6.96682
7.6,221.684,19.3755,-6.9934
7.7,223.552,18.6743,-7.01232
7.8,225.349,17.9719,-7.02375
7.9,227.076,17.2691,-7.02788
8,228.733,16.5666,-7.02487
8.1,230.319,15.8651,-7.01491
8.2,231.836,15.1653,-6.99819
8.3,233.282,14.4678,-6.97489
8.4,234.66,13.7733,-6.9452
8.5,235.968,13.0824,-6.9093
8.6,237.208,12.3956,-6.86739
8.7,238.379,11.7137,-6.81966
8.8,239.483,11.037,-6.76631
8.9,240.519,10.3663,-6.70752
9,241.489,9.70193,-6.64349
9.1,242.394,9.04449,-6.57443
9.2,243.233,8.39443,-6.50051
9.3,244.009,7.75224,-6.42194
9.4,244.72,7.11835,-6.33892
9.5,245.37,6.49319,-6.25163
9.6,245.957,5.87716,-6.16027
9.7,246.484,5.27066,-6.06503
9.8,246.952,4.67404,-5.96611
9.9,247.361,4.08767,-5.8637
10,247.712,3.51188,-5.75799
10.1,248.007,2.94696,-5.64915
10.2,248.246,2.39322,-5.5374
10.3,248.431,1.85093,-5.42289
10.4,248.563,1.32035,-5.30583
10.5,248.643,0.80171,-5.18639
10.6,248.673,0.295236,-5.06474
10.7,248.653,-0.198872,-4.94108
10.8,248.585,-0.680428,-4.81556
10.9,248.47,-1.14927,-4.68837
11,248.309,-1.60523,-4.55967
11.1,248.104,-2.04819,-4.42962
11.2,247.857,-2.47803,-4.2984
11.3,247.567,-2.89465,-4.16616
11.4,247.237,-3.29796,-4.03306
11.5,246.869,-3.68788,-3.89925
11.6,246.462,-4.06437,-3.76489
11.7,246.019,-4.42738,-3.63013
11.8,245.542,-4.77689,-3.4951
11.9,245.03,-5.11289,-3.35995
12,244.487,-5.43537,-3.22483
12.1,243.913,-5.74436,-3.08985
12.2,243.309,-6.03987,-2.95516
12.3,242.676,-6.32196,-2.82088
12.4,242.017,-6.59068,-2.68714
12.5,241.333,-6.84608,-2.55406
12.6,240.624,-7.08826,-2.42175
12.7,239.892,-7.31729,-2.29032
12.8,239.139,-7.53328,-2.15989
12.9,238.365,-7.73633,-2.03056
13,237.572,-7.92658,-1.90243
13.1,236.762,-8.10414,-1.7756
13.2,235.935,-8.26915,-1.65017
13.3,235.093,-8.42178,-1.52623
13.4,234.237,-8.56216,-1.40385
13.5,233.368,-8.69048,-1.28314
13.6,232.487,-8.80689,-1.16415
13.7,231.596,-8.91159,-1.04698
13.8,230.695,-9.00476,-0.931689
13.9,229.787,-9.08659,-0.81835
14,228.871,-9.15729,-0.707025
14.1,227.949,-9.21707,-0.597776
14.2,227.023,-9.26614,-0.490661
14.3,226.092,-9.30471,-0.385733
14.4,225.159,-9.33302,-0.283043
14.5,224.224,-9.35128,-0.182637
14.6,223.288,-9.35974,-0.0845579
14.7,222.352,-9.35862,0.0111534
14.8,221.417,-9.34817,0.104461
14.9,220.484,-9.32864,0.195331
15,219.554,-9.30027,0.283734
15.1,218.628,-9.2633,0.369643
15.2,217.706,-9.218,0.453035
15.3,216.79,-9.16461,0.53389
15.4,215.879,-9.10339,0.612188
15.5,214.976,-9.0346,0.687918
15.6,214.08,-8.95849,0.761066
15.7,213.192,-8.87533,0.831624
15.8,212.314,-8.78537,0.899587
15.9,211.445,-8.68888,0.964951
16,210.586,-8.58611,1.02772
16.1,209.739,-8.47732,1.08788
16.2,208.902,-8.36277,1.14546
16.3,208.078,-8.24273,1.20045
16.4,207.266,-8.11744,1.25287
16.5,206.468,-7.98717,1.30272
16.6,205.682,-7.85217,1.35002
16.7,204.911,-7.71269,1.39479
16.8,204.154,-7.56898,1.43705
16.9,203.412,-7.4213,1.47682
17,202.685,-7.26989,1.51411
17.1,201.974,-7.11499,1.54895
17.2,201.278,-6.95686,1.58138
17.3,200.598,-6.79571,1.61141
17.4,199.935,-6.63181,1.63909
17.5,199.289,-6.46536,1.66443
17.6,198.659,-6.29662,1.68747
17.7,198.046,-6.12579,1.70825
